0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
30.0,25.0,31.0,37.0,40.0,39.0,27.0,7.0,36.0,29.0,32.0,34.0,38.0,42.0,46.0,48.0,2
-28.0,-40.0,-46.0,-39.0,-51.0,-47.0,-31.0,-15.0,-36.0,-33.0,-32.0,-35.0,-33.0,-33.0,-31.0,-33.0,2
78.0,32.0,35.0,39.0,35.0,33.0,43.0,55.0,17.0,26.0,31.0,32.0,32.0,29.0,25.0,18.0,2
14.0,14.0,11.0,8.0,14.0,17.0,9.0,12.0,12.0,6.0,12.0,13.0,18.0,23.0,23.0,21.0,2
-3.0,-27.0,-13.0,-2.0,1.0,0.0,0.0,-7.0,-5.0,-11.0,-9.0,-11.0,-12.0,-14.0,-12.0,-24.0,2
122.0,162.0,134.0,128.0,95.0,79.0,43.0,10.0,-22.0,59.0,-10.0,45.0,29.0,-3.0,5.0,-66.0,2
159.0,25.0,25.0,31.0,36.0,37.0,42.0,72.0,118.0,46.0,38.0,41.0,31.0,61.0,72.0,48.0,2
11.0,-14.0,-19.0,-23.0,-19.0,-7.0,14.0,19.0,-19.0,-20.0,-13.0,-14.0,-14.0,-12.0,-10.0,-13.0,2
57.0,40.0,29.0,19.0,35.0,38.0,33.0,24.0,40.0,37.0,39.0,36.0,37.0,37.0,38.0,39.0,2
513.0,-16.0,-23.0,-6.0,14.0,26.0,31.0,45.0,220.0,56.0,118.0,89.0,85.0,36.0,42.0,143.0,2
137.0,-25.0,-8.0,-9.0,-2.0,-4.0,-3.0,12.0,27.0,7.0,10.0,1.0,-21.0,-40.0,3.0,-5.0,2
409.0,-11.0,7.0,13.0,16.0,15.0,9.0,29.0,103.0,49.0,65.0,49.0,34.0,6.0,48.0,62.0,2
219.0,-16.0,2.0,7.0,2.0,7.0,35.0,43.0,39.0,-12.0,-40.0,-20.0,-34.0,-83.0,-66.0,18.0,2
-1.0,-7.0,-7.0,-4.0,6.0,10.0,-7.0,-30.0,-43.0,21.0,-13.0,0.0,-12.0,-15.0,-1.0,-34.0,2
193.0,53.0,52.0,46.0,67.0,69.0,56.0,58.0,10.0,47.0,2.0,41.0,15.0,-29.0,-30.0,59.0,2
-11.0,32.0,33.0,25.0,29.0,34.0,45.0,30.0,40.0,34.0,39.0,35.0,33.0,29.0,25.0,14.0,2
-70.0,-25.0,-6.0,-30.0,-39.0,-39.0,-31.0,-14.0,-32.0,-27.0,-21.0,-23.0,-24.0,-26.0,-35.0,-40.0,2
127.0,-39.0,-48.0,-8.0,-20.0,-23.0,0.0,20.0,70.0,0.0,-24.0,4.0,-15.0,-56.0,-59.0,43.0,2
-97.0,-26.0,-25.0,-24.0,-28.0,-28.0,-31.0,-63.0,-84.0,-35.0,-64.0,-45.0,-54.0,-55.0,-43.0,-93.0,2
-154.0,-26.0,-27.0,-32.0,-33.0,-33.0,-38.0,-85.0,-125.0,-55.0,-96.0,-63.0,-73.0,-80.0,-63.0,-127.0,2
-436.0,6.0,42.0,38.0,26.0,23.0,25.0,21.0,39.0,47.0,-16.0,14.0,-4.0,-22.0,-18.0,29.0,2
3.0,-23.0,-24.0,-24.0,-18.0,-22.0,-26.0,-28.0,-39.0,-33.0,-29.0,-33.0,-36.0,-43.0,-47.0,-43.0,2
162.0,-43.0,-19.0,-32.0,-27.0,-23.0,-12.0,2.0,73.0,17.0,34.0,0.0,-10.0,-34.0,20.0,4.0,2
73.0,-49.0,-35.0,-43.0,-47.0,-52.0,-36.0,-35.0,19.0,21.0,17.0,-2.0,-37.0,-62.0,40.0,-72.0,2
-165.0,34.0,41.0,35.0,37.0,45.0,48.0,17.0,-52.0,60.0,6.0,10.0,-5.0,22.0,122.0,-12.0,2
